SurveyYear,Indicator,Value,CharacteristicLabel,RegionName,SurveyType,flood_intensity_demo,population_exposed_demo,HCFs_exposed_demo,SourceNote
2013,PNC within 48h (%),63.2,Higher flood year,Brazil flood case-study preview,DEMO,318.88,5166.87,5.08,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
2014,PNC within 48h (%),62.0,Higher flood year,Brazil flood case-study preview,DEMO,331.04,5285.69,3.67,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
2015,PNC within 48h (%),69.0,Lower flood year,Brazil flood case-study preview,DEMO,265.18,5018.87,3.33,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
2016,PNC within 48h (%),71.7,Lower flood year,Brazil flood case-study preview,DEMO,265.87,4197.5,4.17,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
2017,PNC within 48h (%),73.9,Lower flood year,Brazil flood case-study preview,DEMO,254.92,3839.03,3.0,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
2018,PNC within 48h (%),71.5,Lower flood year,Brazil flood case-study preview,DEMO,276.59,4045.91,3.0,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
2019,PNC within 48h (%),64.5,Higher flood year,Brazil flood case-study preview,DEMO,339.46,4545.21,3.83,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
2020,PNC within 48h (%),77.6,Lower flood year,Brazil flood case-study preview,DEMO,229.51,3614.97,2.42,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
2021,PNC within 48h (%),68.8,Lower flood year,Brazil flood case-study preview,DEMO,288.88,4810.18,4.08,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
2022,PNC within 48h (%),66.7,Lower flood year,Brazil flood case-study preview,DEMO,308.67,4988.38,4.42,Illustrative DHS-style PNC demo aligned to Brazil case-study preview. Not an official DHS extract.
