SurveyYear,Indicator,Value,CharacteristicLabel,RegionName,SurveyType,SourceNote
2013,PNC within 48h (%),54.0,Chibombo,Chibombo,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
2014,PNC within 48h (%),55.2,Chibombo,Chibombo,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
2015,PNC within 48h (%),56.1,Chibombo,Chibombo,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
2016,PNC within 48h (%),57.0,Chibombo,Chibombo,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
2017,PNC within 48h (%),58.3,Chibombo,Chibombo,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
2018,PNC within 48h (%),53.5,Senanga,Senanga,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
2019,PNC within 48h (%),54.4,Senanga,Senanga,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
2020,PNC within 48h (%),55.1,Senanga,Senanga,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
2021,PNC within 48h (%),56.8,Senanga,Senanga,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
2022,PNC within 48h (%),58.0,Senanga,Senanga,DEMO,Illustrative DHS-style Zambia PNC demo aligned to multi-hazard case study. Not an official DHS extract.
